Domain,Subset,Mode,N_Partitions,Sweep_Set,Region_Index,Region_Label,Cutoff_Count,Expected_Cells,Eval_Cells,Finite_Value_Cells,Primary_Eligible_Cells,Finite_Eligible_Cells,Finite_Eligible_Eval_Pct,Positive_Cells,Positive_Eval_Pct,Negative_Cells,Negative_Eval_Pct,Zero_Cells,Large_Positive_Cells,Large_Positive_Eval_Pct,Large_Positive_Eligible_Pct,Large_Negative_Cells,Large_Negative_Eval_Pct,Large_Negative_Eligible_Pct,Mean_Value,Median_Value
Formula,PM,Period2_2018_2020,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,2400,2246,2246,22.686869,531,5.363636,833,8.414141,882,83,0.838384,3.695459,352,3.555556,15.672306,-0.104675,0.000000
Formula,SM,Combo6yr,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,3113,31.130000,5920,59.200000,867,1706,17.060000,17.232323,5185,51.850000,52.373737,-0.319480,-0.611111
Formula,SM,Combo6yr,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9800,9800,98.989899,3440,34.747475,209,2.111111,6151,3056,30.868687,31.183673,0,0.000000,0.000000,0.292831,0.000000
Formula,SM,Period1_2015_2017,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9889,9889,98.890000,6267,62.670000,2901,29.010000,721,5113,51.130000,51.703913,1876,18.760000,18.970573,0.282310,0.527778
Formula,SM,Period1_2015_2017,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9800,9800,98.989899,3743,37.808081,269,2.717172,5788,3372,34.060606,34.408163,3,0.030303,0.030612,0.323487,0.000000
Formula,SM,Period2_2018_2020,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9899,9899,98.990000,1734,17.340000,7105,71.050000,1060,1433,14.330000,14.476210,4180,41.800000,42.226488,-0.294400,-0.381944
Formula,SM,Period2_2018_2020,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9798,9798,98.969697,644,6.505051,36,0.363636,9118,345,3.484848,3.521127,0,0.000000,0.000000,0.032332,0.000000
Pathway,All,Combo6yr,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,679,6.790000,8889,88.890000,332,679,6.790000,6.858586,8889,88.890000,89.787879,-0.825514,-1.000000
Pathway,All,Combo6yr,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9795,9795,98.939394,3445,34.797980,5159,52.111111,1191,658,6.646465,6.717713,2745,27.727273,28.024502,-0.204868,-0.010417
Pathway,All,Period1_2015_2017,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,1873,18.730000,7796,77.960000,231,1808,18.080000,18.262626,7747,77.470000,78.252525,-0.605096,-1.000000
