Formula,High-EI 2014,High-EI 2015,High-EI 2016,High-EI 2017,High-EI 2018,High-EI 2019,High-EI 2020,Low-EI 2015,Low-EI 2016,Low-EI 2017,Low-EI 2018,Low-EI 2019,Low-EI 2020,KEGG ID,PC4 loadings
C11H12N2O3,0,0,0,0,0,1627,0,0,0,0,0,7217,7974.6666666667,C00643 | C01017 | C09985 | C19716 | C21777,-0.0807486267
C20H20O7,0,0,0,0,0,0,2303.3333333333,0,0,0,0,0,11985.6666666667,C10186 | C10190 | C10883 | C20499,-0.0802143431
C14H16O10,85472,66840,21522,34048,130943.333333333,258883,245049.666666667,157328,37035,63117.5,433018.444444445,619097.666666667,695980.666666667,C10834,-0.0767511596
C9H11NO3,0,8640,0,0,86622.3333333333,51226.6666666667,34126.8333333333,13050,8746,17244,229982.666666667,157635.166666667,145461.5,C00082 | C01536 | C03290 | C04368 | C06420 | C19579 | C19712 | C20807 | C21308,-0.0750192418
C16H18O8,7071.5714285714,13765.7142857143,8643,4826,15635,22705.5,80058,13896.7142857143,15101,19204,100381,58505.3333333333,141890.5,C10432 | C10441 | C12208,-0.0746821912
C14H14O9,0,0,0,0,0,1530.3333333333,0,0,0,0,0,12846.3333333333,9929.6666666667,C02750,-0.0730829233
C14H6O8,0,0,0,0,9907.6666666667,0,10454.6666666667,0,0,0,59991.3333333333,0,26841.6666666667,C10788,-0.0729945853
C21H22O12,0,0,0,0,0,1065.6666666667,8795.6666666667,0,0,0,11550.3333333333,4760.6666666667,15504.3333333333,C17531,-0.0725187629
C16H18O9,0,0,0,0,5915.6666666667,9488.6666666667,33679.3333333333,0,0,0,64363,23273.6666666667,61261,C00852 | C01527 | C08996 | C17147,-0.0724041319
C9H11NO2,26736,39447,12561,30845,250272,532619.666666667,210720.333333333,42771,36776,79585,1501563,1426485.33333333,920374.333333333,C00079 | C02057 | C02265 | C07527 | C18090 | C18747 | C19565 | C19578 | C20487 | C20488 | C22021,-0.0723213216
C15H14N4O2,0,0,0,0,0,0,2718.6666666667,0,0,0,0,0,9318.6666666667,C20287,-0.0699296065
C21H22O11,0,11477,0,0,7577.6666666667,21191,25391,0,8022,0,42397.1666666667,50999.3333333333,56737.1666666667,C09803 | C16408 | C17449 | C17675,-0.0689903859
C18H30O2,545.5,533.25,0,0,0,0,1684.3333333333,739.5,0,0,0,0,4963.6666666667,C06426 | C06427 | C07289 | C08315 | C08364 | C15201,-0.0680252105
